cum	dayOffset	fromHour	max	mean	min	region	timestamp	toHour	weatherParam
-1.0	0	0	278.591308594	277.435791016	276.280273438	5	2017-11-02	6	2t
-1.0	0	6	288.058837891	282.988606771	276.280273438	5	2017-11-02	12	2t
-1.0	0	6	288.058837891	283.468701172	276.280273438	5	2017-11-02	18	2t
-1.0	0	12	288.058837891	285.478841146	282.566894531	5	2017-11-02	18	2t
-1.0	0	0	280.37890625	279.041748047	277.704589844	6	2017-11-02	6	2t
-1.0	0	6	284.194824219	281.200439453	277.704589844	6	2017-11-02	12	2t
-1.0	0	6	284.194824219	281.521240234	277.704589844	6	2017-11-02	18	2t
-1.0	0	12	284.194824219	282.733235677	280.902587891	6	2017-11-02	18	2t
-1.0	0	0	276.604003906	276.105224609	275.606445312	7	2017-11-02	6	2t
-1.0	0	6	284.242919922	280.665771484	275.606445312	7	2017-11-02	12	2t
-1.0	0	6	284.242919922	281.226513672	275.606445312	7	2017-11-02	18	2t
-1.0	0	12	284.242919922	282.792724609	281.304443359	7	2017-11-02	18	2t
-1.0	0	0	284.681640625	284.526367188	284.37109375	8	2017-11-02	6	2t
-1.0	0	6	288.785400391	287.078694661	284.37109375	8	2017-11-02	12	2t
-1.0	0	6	288.785400391	287.254785156	284.37109375	8	2017-11-02	18	2t
-1.0	0	12	288.785400391	287.941080729	286.976318359	8	2017-11-02	18	2t
-1.0	0	0	279.428710938	279.361083984	279.293457031	9	2017-11-02	6	2t
-1.0	0	6	286.836669922	283.564778646	279.293457031	9	2017-11-02	12	2t
-1.0	0	6	286.836669922	284.144482422	279.293457031	9	2017-11-02	18	2t
-1.0	0	12	286.836669922	285.621582031	283.901611328	9	2017-11-02	18	2t
-1.0	0	0	278.072265625	278.031494141	277.990722656	10	2017-11-02	6	2t
-1.0	0	6	286.483154297	283.057861328	277.990722656	10	2017-11-02	12	2t
-1.0	0	6	286.483154297	283.312011719	277.990722656	10	2017-11-02	18	2t
-1.0	0	12	286.483154297	284.623209635	282.416992188	10	2017-11-02	18	2t
-1.0	0	0	278.127929688	276.802490234	275.477050781	11	2017-11-02	6	2t
-1.0	0	6	286.962158203	281.83984375	275.477050781	11	2017-11-02	12	2t
-1.0	0	6	286.962158203	282.232763672	275.477050781	11	2017-11-02	18	2t
-1.0	0	12	286.962158203	284.202148438	280.468261719	11	2017-11-02	18	2t
-1.0	0	0	278.478515625	277.227539062	275.9765625	12	2017-11-02	6	2t
-1.0	0	6	287.804931641	282.978352865	275.9765625	12	2017-11-02	12	2t
